macula_id	gloss
o010020050171	on
o010020050181	the
o010020050182	earth
o010020050191	and
o010020050192	a.human
o010020050201	there.[was].not
o010020050211	to
o010020050212	till
o010020050221	(et)
o010020050231	the
o010020050232	ground
o010020060011	and
o010020060012	water
o010020060021	it.came.up
o010020060031	from
o010020060041	the
o010020060042	earth
o010020060051	and
o010020060052	it.watered
o010020060061	(et)
o010020060071	all
o010020060081	the.surface
o010020060091	of
o010020060092	the.ground
o010020070011	and
o010020070012	he.formed
o010020070021	Yahweh
o010020070031	God
o010020070041	(et)
o010020070051	the
o010020070052	man
o010020070061	dust
o010020070071	from
o010020070081	the
o010020070082	ground
o010020070091	and
o010020070092	he.blew
o010020070101	in
o010020070102	nostrils
o010020070103	his
o010020070111	[the].breath
o010020070121	of.life
o010020070131	and
o010020070132	he.became
o010020070141	the
o010020070142	man
o010020070151	(into).a
o010020070152	creature
o010020070161	living
o010020080011	and
o010020080012	he.planted
o010020080021	Yahweh
o010020080031	God
o010020080041	a.garden
o010020080051	in
o010020080052	Eden
o010020080061	from.[the]
o010020080062	east
o010020080071	and
o010020080072	he.put
o010020080081	there
o010020080091	(et)
o010020080101	the
o010020080102	man
o010020080111	whom
o010020080121	he.had.formed
o010020090011	and
o010020090012	he.made.sprout
o010020090021	Yahweh
o010020090031	God
o010020090041	from
o010020090051	the
o010020090052	ground
o010020090061	every
o010020090071	tree
o010020090081	desirable
o010020090091	to
o010020090092	appearance
o010020090101	and
o010020090102	good
o010020090111	for
o010020090112	food
o010020090121	and
o010020090122	the.tree
o010020090131	of.(the)
o010020090132	life
o010020090141	[was].in
o010020090142	the.middle
o010020090151	of
o010020090152	the.garden
o010020090161	and
o010020090162	the.tree
o010020090171	of
o010020090172	the.knowledge
o010020090181	good
o010020090191	and
o010020090192	evil
o010020100011	and
o010020100012	a.river
o010020100021	[was].going.out
o010020100031	from
o010020100032	Eden
o010020100041	to
o010020100042	water
o010020100051	(et)
o010020100061	the
o010020100062	garden
o010020100071	and
o010020100072	from
o010020100073	there
o010020100081	it.divided
o010020100091	and
o010020100092	it.became
o010020100101	(into)
o010020100102	four
o010020100111	heads
o010020110011	the.name
o010020110021	of
o010020110022	the.one
o010020110031	[is].Pishon
o010020110041	it
o010020110051	[is].the
o010020110052	[one.which].goes.around
o010020110061	(et)
o010020110071	all
o010020110081	the.land
o010020110091	of.(the)
o010020110092	Havilah
o010020110101	where
o010020110111	[is].there
o010020110121	(the)
o010020110122	gold
o010020120011	and
